Date,Bar Name,Brand Name,Consumed (ml),Purchase (ml),Opening Balance,Closing Balance,Transactions,Day of Week,Stockout Flag
2023-01-22,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-01-23,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-01-24,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-01-25,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-01-26,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Thursday,1
2023-01-27,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-01-28,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-01-29,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-01-30,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-01-31,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Tuesday,1
2023-02-01,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Wednesday,1
2023-02-02,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-02-03,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-02-04,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Saturday,1
2023-02-05,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Sunday,1
2023-02-06,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-02-07,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-02-08,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-02-09,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-02-10,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-02-11,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-02-12,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-02-13,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-02-14,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-02-15,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-02-16,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-02-17,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-02-18,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-02-19,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-02-20,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-02-21,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-02-22,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Wednesday,1
2023-02-23,Anderson's Bar,Absolut,395.69,1943.13,0.0,1547.44,1.0,Thursday,0
2023-02-24,Anderson's Bar,Absolut,0.0,0.0,1547.44,1547.44,0.0,Friday,0
2023-02-25,Anderson's Bar,Absolut,0.0,0.0,1547.44,1547.44,0.0,Saturday,0
2023-02-26,Anderson's Bar,Absolut,0.0,0.0,1547.44,1547.44,0.0,Sunday,0
2023-02-27,Anderson's Bar,Absolut,0.0,0.0,1547.44,1547.44,0.0,Monday,0
2023-02-28,Anderson's Bar,Absolut,0.0,0.0,1547.44,1547.44,0.0,Tuesday,0
2023-03-01,Anderson's Bar,Absolut,0.0,0.0,1547.44,1547.44,0.0,Wednesday,0
2023-03-02,Anderson's Bar,Absolut,190.59,0.0,1547.44,1356.85,1.0,Thursday,0
2023-03-03,Anderson's Bar,Absolut,0.0,0.0,1356.85,1356.85,0.0,Friday,0
2023-03-04,Anderson's Bar,Absolut,205.75,0.0,1356.85,1151.1,1.0,Saturday,0
2023-03-05,Anderson's Bar,Absolut,0.0,0.0,1151.1,1151.1,0.0,Sunday,0
2023-03-06,Anderson's Bar,Absolut,0.0,0.0,1151.1,1151.1,0.0,Monday,0
2023-03-07,Anderson's Bar,Absolut,289.73,0.0,1151.1,861.37,1.0,Tuesday,0
2023-03-08,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Wednesday,0
2023-03-09,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Thursday,0
2023-03-10,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Friday,0
2023-03-11,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Saturday,0
2023-03-12,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Sunday,0
2023-03-13,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Monday,0
2023-03-14,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Tuesday,0
2023-03-15,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Wednesday,0
2023-03-16,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Thursday,0
2023-03-17,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Friday,0
2023-03-18,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Saturday,0
2023-03-19,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Sunday,0
2023-03-20,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Monday,0
2023-03-21,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Tuesday,0
2023-03-22,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Wednesday,0
2023-03-23,Anderson's Bar,Absolut,0.0,0.0,861.37,861.37,0.0,Thursday,0
2023-03-24,Anderson's Bar,Absolut,141.18,0.0,861.37,720.19,1.0,Friday,0
2023-03-25,Anderson's Bar,Absolut,0.0,0.0,720.19,720.19,0.0,Saturday,0
2023-03-26,Anderson's Bar,Absolut,0.0,0.0,720.19,720.19,0.0,Sunday,0
2023-03-27,Anderson's Bar,Absolut,0.0,0.0,720.19,720.19,0.0,Monday,0
2023-03-28,Anderson's Bar,Absolut,0.0,0.0,720.19,720.19,0.0,Tuesday,0
2023-03-29,Anderson's Bar,Absolut,0.0,0.0,720.19,720.19,0.0,Wednesday,0
2023-03-30,Anderson's Bar,Absolut,208.98,0.0,720.19,511.21,1.0,Thursday,0
2023-03-31,Anderson's Bar,Absolut,0.0,0.0,511.21,511.21,0.0,Friday,0
2023-04-01,Anderson's Bar,Absolut,0.0,0.0,511.21,511.21,0.0,Saturday,0
2023-04-02,Anderson's Bar,Absolut,0.0,0.0,511.21,511.21,0.0,Sunday,0
2023-04-03,Anderson's Bar,Absolut,0.0,0.0,511.21,511.21,0.0,Monday,0
2023-04-04,Anderson's Bar,Absolut,304.12,0.0,511.21,207.09,1.0,Tuesday,0
2023-04-05,Anderson's Bar,Absolut,0.0,0.0,207.09,207.09,0.0,Wednesday,0
2023-04-06,Anderson's Bar,Absolut,207.09,0.0,207.09,0.0,1.0,Thursday,1
2023-04-07,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-04-08,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-04-09,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Sunday,1
2023-04-10,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-04-11,Anderson's Bar,Absolut,255.3,1303.16,0.0,1047.86,1.0,Tuesday,0
2023-04-12,Anderson's Bar,Absolut,301.09,0.0,1047.86,746.77,1.0,Wednesday,0
2023-04-13,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Thursday,0
2023-04-14,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Friday,0
2023-04-15,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Saturday,0
2023-04-16,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Sunday,0
2023-04-17,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Monday,0
2023-04-18,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Tuesday,0
2023-04-19,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Wednesday,0
2023-04-20,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Thursday,0
2023-04-21,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Friday,0
2023-04-22,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Saturday,0
2023-04-23,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Sunday,0
2023-04-24,Anderson's Bar,Absolut,0.0,0.0,746.77,746.77,0.0,Monday,0
2023-04-25,Anderson's Bar,Absolut,137.31,0.0,746.77,609.46,1.0,Tuesday,0
2023-04-26,Anderson's Bar,Absolut,0.0,0.0,609.46,609.46,0.0,Wednesday,0
2023-04-27,Anderson's Bar,Absolut,0.0,0.0,609.46,609.46,0.0,Thursday,0
2023-04-28,Anderson's Bar,Absolut,348.26,1260.36,609.46,1521.56,1.0,Friday,0
2023-04-29,Anderson's Bar,Absolut,0.0,0.0,1521.56,1521.56,0.0,Saturday,0
2023-04-30,Anderson's Bar,Absolut,0.0,0.0,1521.56,1521.56,0.0,Sunday,0
2023-05-01,Anderson's Bar,Absolut,0.0,0.0,1521.56,1521.56,0.0,Monday,0
2023-05-02,Anderson's Bar,Absolut,0.0,0.0,1521.56,1521.56,0.0,Tuesday,0
2023-05-03,Anderson's Bar,Absolut,0.0,0.0,1521.56,1521.56,0.0,Wednesday,0
2023-05-04,Anderson's Bar,Absolut,0.0,0.0,1521.56,1521.56,0.0,Thursday,0
2023-05-05,Anderson's Bar,Absolut,0.0,0.0,1521.56,1521.56,0.0,Friday,0
2023-05-06,Anderson's Bar,Absolut,0.0,0.0,1521.56,1521.56,0.0,Saturday,0
2023-05-07,Anderson's Bar,Absolut,278.64,0.0,1521.56,1242.92,1.0,Sunday,0
2023-05-08,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Monday,0
2023-05-09,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Tuesday,0
2023-05-10,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Wednesday,0
2023-05-11,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Thursday,0
2023-05-12,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Friday,0
2023-05-13,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Saturday,0
2023-05-14,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Sunday,0
2023-05-15,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Monday,0
2023-05-16,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Tuesday,0
2023-05-17,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Wednesday,0
2023-05-18,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Thursday,0
2023-05-19,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Friday,0
2023-05-20,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Saturday,0
2023-05-21,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Sunday,0
2023-05-22,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Monday,0
2023-05-23,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Tuesday,0
2023-05-24,Anderson's Bar,Absolut,0.0,0.0,1242.92,1242.92,0.0,Wednesday,0
2023-05-25,Anderson's Bar,Absolut,356.44,0.0,1242.92,886.48,1.0,Thursday,0
2023-05-26,Anderson's Bar,Absolut,0.0,0.0,886.48,886.48,0.0,Friday,0
2023-05-27,Anderson's Bar,Absolut,0.0,0.0,886.48,886.48,0.0,Saturday,0
2023-05-28,Anderson's Bar,Absolut,357.43,0.0,886.48,529.05,1.0,Sunday,0
2023-05-29,Anderson's Bar,Absolut,0.0,0.0,529.05,529.05,0.0,Monday,0
2023-05-30,Anderson's Bar,Absolut,0.0,0.0,529.05,529.05,0.0,Tuesday,0
2023-05-31,Anderson's Bar,Absolut,0.0,0.0,529.05,529.05,0.0,Wednesday,0
2023-06-01,Anderson's Bar,Absolut,213.37,0.0,529.05,315.68,1.0,Thursday,0
2023-06-02,Anderson's Bar,Absolut,0.0,0.0,315.68,315.68,0.0,Friday,0
2023-06-03,Anderson's Bar,Absolut,0.0,0.0,315.68,315.68,0.0,Saturday,0
2023-06-04,Anderson's Bar,Absolut,315.68,0.0,315.68,0.0,1.0,Sunday,1
2023-06-05,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-06-06,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-06-07,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-06-08,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-06-09,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-06-10,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Saturday,1
2023-06-11,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Sunday,1
2023-06-12,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-06-13,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-06-14,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Wednesday,1
2023-06-15,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-06-16,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-06-17,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-06-18,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-06-19,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-06-20,Anderson's Bar,Absolut,123.25,1680.23,0.0,1556.98,1.0,Tuesday,0
2023-06-21,Anderson's Bar,Absolut,273.59,0.0,1556.98,1283.39,1.0,Wednesday,0
2023-06-22,Anderson's Bar,Absolut,0.0,0.0,1283.39,1283.39,0.0,Thursday,0
2023-06-23,Anderson's Bar,Absolut,0.0,0.0,1283.39,1283.39,0.0,Friday,0
2023-06-24,Anderson's Bar,Absolut,0.0,0.0,1283.39,1283.39,0.0,Saturday,0
2023-06-25,Anderson's Bar,Absolut,0.0,0.0,1283.39,1283.39,0.0,Sunday,0
2023-06-26,Anderson's Bar,Absolut,301.76,0.0,1283.39,981.63,1.0,Monday,0
2023-06-27,Anderson's Bar,Absolut,0.0,0.0,981.63,981.63,0.0,Tuesday,0
2023-06-28,Anderson's Bar,Absolut,348.03,0.0,981.63,633.6,1.0,Wednesday,0
2023-06-29,Anderson's Bar,Absolut,579.09,0.0,633.6,54.51,1.0,Thursday,0
2023-06-30,Anderson's Bar,Absolut,0.0,0.0,54.51,54.51,0.0,Friday,0
2023-07-01,Anderson's Bar,Absolut,0.0,0.0,54.51,54.51,0.0,Saturday,0
2023-07-02,Anderson's Bar,Absolut,0.0,0.0,54.51,54.51,0.0,Sunday,0
2023-07-03,Anderson's Bar,Absolut,0.0,0.0,54.51,54.51,0.0,Monday,0
2023-07-04,Anderson's Bar,Absolut,0.0,0.0,54.51,54.51,0.0,Tuesday,0
2023-07-05,Anderson's Bar,Absolut,0.0,0.0,54.51,54.51,0.0,Wednesday,0
2023-07-06,Anderson's Bar,Absolut,54.51,0.0,54.51,0.0,1.0,Thursday,1
2023-07-07,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-07-08,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-07-09,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-07-10,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-07-11,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-07-12,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-07-13,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-07-14,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-07-15,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-07-16,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Sunday,1
2023-07-17,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-07-18,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-07-19,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-07-20,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-07-21,Anderson's Bar,Absolut,452.7,890.15,0.0,437.45,1.0,Friday,0
2023-07-22,Anderson's Bar,Absolut,0.0,0.0,437.45,437.45,0.0,Saturday,0
2023-07-23,Anderson's Bar,Absolut,122.25,0.0,437.45,315.2,1.0,Sunday,0
2023-07-24,Anderson's Bar,Absolut,0.0,0.0,315.2,315.2,0.0,Monday,0
2023-07-25,Anderson's Bar,Absolut,315.2,0.0,315.2,0.0,1.0,Tuesday,1
2023-07-26,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-07-27,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-07-28,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-07-29,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Saturday,1
2023-07-30,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-07-31,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-08-01,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-08-02,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-08-03,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-08-04,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Friday,1
2023-08-05,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-08-06,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-08-07,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-08-08,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-08-09,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-08-10,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-08-11,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-08-12,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-08-13,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Sunday,1
2023-08-14,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-08-15,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Tuesday,1
2023-08-16,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-08-17,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-08-18,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-08-19,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-08-20,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-08-21,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-08-22,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-08-23,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-08-24,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Thursday,1
2023-08-25,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-08-26,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-08-27,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-08-28,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-08-29,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-08-30,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Wednesday,1
2023-08-31,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-09-01,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-09-02,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-09-03,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-09-04,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-09-05,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Tuesday,1
2023-09-06,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-09-07,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-09-08,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-09-09,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-09-10,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Sunday,1
2023-09-11,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Monday,1
2023-09-12,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-09-13,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-09-14,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Thursday,1
2023-09-15,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-09-16,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-09-17,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-09-18,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-09-19,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-09-20,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-09-21,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-09-22,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-09-23,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-09-24,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-09-25,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-09-26,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-09-27,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-09-28,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-09-29,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-09-30,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Saturday,1
2023-10-01,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-10-02,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-10-03,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-10-04,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-10-05,Anderson's Bar,Absolut,189.66,1237.23,0.0,1047.57,1.0,Thursday,0
2023-10-06,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Friday,0
2023-10-07,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Saturday,0
2023-10-08,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Sunday,0
2023-10-09,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Monday,0
2023-10-10,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Tuesday,0
2023-10-11,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Wednesday,0
2023-10-12,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Thursday,0
2023-10-13,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Friday,0
2023-10-14,Anderson's Bar,Absolut,0.0,0.0,1047.57,1047.57,0.0,Saturday,0
